"ID","Name","Description","URL","SKU","Categories","Status","Image","Price","Stock Status","Sale Price"
"530","Mushrooms 250g","","https://weshop4u.ie/products/mushrooms-250g","","Fruit n Veg","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/mushrooms-250g.jpg","1.99","in_stock",""
"531","Carrots 1kg","","https://weshop4u.ie/products/carrots-1kg","","Fruit n Veg","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/carrots-1kg.jpg","2.49","in_stock",""
"532","Tomato 6pk","","https://weshop4u.ie/products/tomato-6pk","","Fruit n Veg","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/tomato-6pk.jpg","2.69","in_stock",""
"533","Lettuce Iceberg","","https://weshop4u.ie/products/lettuce-iceberg","","Fruit n Veg","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/lettuce-iceberg.jpg","2.29","in_stock",""
"534","Cucumber 1 large","","https://weshop4u.ie/products/cucumber-1-large","","Fruit n Veg","published","https://weshop4u.ie/storage/products/cucumber.jpg","2.49","in_stock",""
"545","Angelico Pinot Grigio 750ml","All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.","https://weshop4u.ie/products/angelico-pinot-grigio-750ml","","Wines","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/angelico-pinot-grigio-750ml.jpg","11.99","in_stock",""
"547","Barefoot Merlot 750ml","All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.","https://weshop4u.ie/products/barefoot-merlot-750ml","","Wines","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/barefoot-merlot-750ml.jpg","11.99","in_stock",""
"548","Barefoot Pinot Grigio 75oml","All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.","https://weshop4u.ie/products/barefoot-pinot-grigio-75oml","","Wines","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/barefoot-pinot-grigio-75oml.jpg","11.99","in_stock",""
"549","Barefoot Sauvignon Blanc 750ml","All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.","https://weshop4u.ie/products/barefoot-sauvignon-blanc-750ml","","Wines","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/barefoot-sauvignon-blanc-750ml.jpg","11.99","in_stock",""
"550","Barefoot White Zinfandel 750ml","All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.","https://weshop4u.ie/products/barefoot-white-zinfandel-750ml","","Wines","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/barefoot-white-zinfandel-750ml.jpg","11.99","in_stock",""
"551","Bavaria 6pk 440ml can","<p>All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.</p>","https://weshop4u.ie/products/bavaria-6pk-440ml-can","","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/products/bavaria-6pk-440ml-can.jpg","12.99","in_stock",""
"552","Birra Moretti 4pk 330ml btl","<p>All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.</p>","https://weshop4u.ie/products/birra-moretti-4pk-330ml-btl","","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/products/birra-moretti-4pk-330ml-btl.jpg","10.09","in_stock",""
"553","Birra Moretti 660ml","All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.","https://weshop4u.ie/products/birra-moretti-660ml","","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/birra-moretti-660ml.jpg","5.29","in_stock",""
"554","Birra Moretti 6pk 330ml","All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.","https://weshop4u.ie/products/birra-moretti-6pk-330ml","","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/birra-moretti-6pk-330ml.jpg","12.49","in_stock",""
"555","Blossom Hill Red 750ml","All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.","https://weshop4u.ie/products/blossom-hill-red-750ml","","Wines","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/blossom-hill-red-750ml.jpg","11.99","in_stock",""
"556","Blossom Hill White 750ml","All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.","https://weshop4u.ie/products/blossom-hill-white-750ml","","Wines","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/blossom-hill-white-750ml.jpg","11.99","in_stock",""
"557","Brewdog Sprucy Lucy 4pk 330ml","All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.","https://weshop4u.ie/products/brewdog-sprucy-lucy-4pk-330ml","","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/brewdog-sprucy-lucy-4pk-330ml.jpg","11.55","in_stock",""
"558","Budweiser 6pk Bottles 330ml","<p>All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.</p>","https://weshop4u.ie/products/budweiser-6pk-bottles-330ml","","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/products/budweiser-6pk-bottles-330ml.jpg","13.95","in_stock",""
"559","Budweiser 8pk Cans 500ml","<p>All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.</p><p>AGE RESTRICTED ITEM. IDENTIFICATION MUST BE SHOWN TO THE DRIVER.</p>","https://weshop4u.ie/products/budweiser-8pk-cans-500ml","","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/budweiser-8pk-cans-500ml.jpg","19.65","in_stock",""
"560","Budweiser Bottle 660ml","All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.","https://weshop4u.ie/products/budweiser-bottle-660ml","","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/budweiser-bottle-660ml.jpg","4.29","in_stock",""
"561","Budweiser Can 4pk 500ml","All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.","https://weshop4u.ie/products/budweiser-can-4pk-500ml","","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/budweiser-can-4pk-500ml.jpg","14.75","in_stock",""
"562","Bulmers 0.0 330ml 4pk","<p>Age Restricted Item. Identification must be shown to the driver.</p><p> </p>","https://weshop4u.ie/products/bulmers-00-330ml-4pk","SF-2443-M8445","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/products/bulmers-00-330ml-4pk.jpg","8.49","in_stock",""
"563","Bulmers 4pk 500ml","All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.","https://weshop4u.ie/products/bulmers-4pk-500ml","","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/bulmers-4pk-500ml.jpg","11.75","in_stock",""
"564","Bulmers 8pk 500ml","<p>Age restricted item. Customers must show id on delivery.</p><p>All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.</p>","https://weshop4u.ie/products/bulmers-8pk-500ml","","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/bulmers-8pk-500ml.jpg","20.05","in_stock",""
"565","Bulmers Bottle 6pk 330ml","<p>Age Restricted Item. Identification must be shown to the driver.</p><p>D.R.S. has been added to the final price.</p>","https://weshop4u.ie/products/bulmers-bottle-6pk-330ml","SF-2443-M8IE12","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/bulmers-bottle-6pk-330ml.jpg","14.89","in_stock",""
"566","Bulmers Cider Bottles 1 litre","All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.","https://weshop4u.ie/products/bulmers-cider-bottles-1-litre","","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/bulmers-cider-bottles-1-litre.jpg","5.75","in_stock",""
"567","Bulmers Dark Fruits 4pk 500ml","<p>All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.</p><p>AGE RESTRICTED ITEM. IDENTIFICATION MUST BE SHOWN TO THE DRIVER.</p>","https://weshop4u.ie/products/bulmers-dark-fruits-4pk-500ml","","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/bulmers-dark-fruits-4pk-500ml.jpg","11.75","in_stock",""
"568","Bulmers Strawberry and Lime 4pk 500ml","<p>Age Restricted Item. Identification must be shown to the driver.</p><p>D.R.S. has been added to the final price.</p>","https://weshop4u.ie/products/bulmers-strawberry-and-lime-4pk-500ml","","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/bulmers-strawberry-and-lime-4pk-500ml.jpg","11.75","in_stock",""
"569","Canadian Can 8pk 500ml","All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.","https://weshop4u.ie/products/canadian-can-8pk-500ml","","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/main/stores/weshop4u-main-street/canadian-can-8pk-500ml.jpg","17.99","in_stock",""
